Country Name,"Series Name","2020","2021","2022","2023"
Afghanistan,"GDP (constant 2015 US$)","20621957125.2077","16345202562.5485","15325233810.1388",".."
Afghanistan,"GDP per capita (constant 2015 US$)","529.144909726945","407.616505242601","372.615894847401",".."
Afghanistan,"GDP per capita growth (annual %)","-5.36466592959428","-22.9669419945958","-8.58665190075376",".."
Afghanistan,"Inflation, consumer prices (annual %)","..","..","..",".."
Afghanistan,"Gini index","..","..","..",".."
Afghanistan,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","2.5","..","2","2"
Albania,"GDP (constant 2015 US$)","12539492342.004","13656576505.5665","14319794712.6268","14812273860.772"
Albania,"GDP per capita (constant 2015 US$)","4418.66087378292","4857.11194201819","5155.29085964151","5394.18241000709"
Albania,"GDP per capita growth (annual %)","-2.74523867757104","9.92271370805365","6.13901678987099","4.63391022678763"
Albania,"Inflation, consumer prices (annual %)","1.62088661717011","2.04147163139549","6.72520271530048",".."
Albania,"Gini index","29.4","..","..",".."
Albania,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Algeria,"GDP (constant 2015 US$)","192185826737.123","199488888153.133","206670488126.993","215143978140.214"
Algeria,"GDP per capita (constant 2015 US$)","4422.97947188314","4515.57399918347","4602.57560847786","4717.39932878428"
Algeria,"GDP per capita growth (annual %)","-6.63165918655454","2.09348761143818","1.92670099770524","2.49477097334206"
Algeria,"Inflation, consumer prices (annual %)","2.41513094083414","7.22606307415477","9.26551551551553","9.32217375928322"
Algeria,"Gini index","..","..","..",".."
Algeria,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
American Samoa,"GDP (constant 2015 US$)","656560305.343511","651422900.763359","662725190.839695",".."
American Samoa,"GDP per capita (constant 2015 US$)","14214.6464600557","14464.8140504798","14969.0599426218",".."
American Samoa,"GDP per capita growth (annual %)","6.97068820816773","1.75992833256275","3.48601710593883",".."
American Samoa,"Inflation, consumer prices (annual %)","..","..","..",".."
American Samoa,"Gini index","..","..","..",".."
American Samoa,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Andorra,"GDP (constant 2015 US$)","2672445970.88657","2893916907.5355","3170685261.18363","3216475797.74249"
Andorra,"GDP per capita (constant 2015 US$)","34394.4140397243","36616.1007608814","39720.951858885","40161.7695253033"
Andorra,"GDP per capita growth (annual %)","-12.7350775611172","6.45944053180018","8.47946950517637","1.10978626087415"
Andorra,"Inflation, consumer prices (annual %)","..","..","..",".."
Andorra,"Gini index","..","..","..",".."
Andorra,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Angola,"GDP (constant 2015 US$)","81399194250.7301","82375341952.5616","84884003095.5114","85610610955.5435"
Angola,"GDP per capita (constant 2015 US$)","2435.02485427339","2387.42990701717","2385.11995566245","2333.71877506136"
Angola,"GDP per capita growth (annual %)","-8.67243212911843","-1.95459800636894","-0.096754729759283","-2.15507737793473"
Angola,"Inflation, consumer prices (annual %)","22.271539247051","25.7542948841891","21.3552901320822","13.6441017767715"
Angola,"Gini index","..","..","..",".."
Angola,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Antigua and Barbuda,"GDP (constant 2015 US$)","1371776497.48049","1484148566.07947","1625386015.56633","1688158621.57823"
Antigua and Barbuda,"GDP per capita (constant 2015 US$)","14803.7695057464","15921.095120946","17335.047039518","17902.3799187494"
Antigua and Barbuda,"GDP per capita growth (annual %)","-19.3592520649756","7.54757506029713","8.88099661380551","3.27275073403651"
Antigua and Barbuda,"Inflation, consumer prices (annual %)","0.625989707046719","2.06299638545334","7.53107834634288","5.06713865364213"
Antigua and Barbuda,"Gini index","..","..","..",".."
Antigua and Barbuda,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Argentina,"GDP (constant 2015 US$)","514874343768.066","570058627079.249","598312841626.662","589035991825.944"
Argentina,"GDP per capita (constant 2015 US$)","11346.6521128461","12444.3182669731","12940.7384352157","12625.4695509096"
Argentina,"GDP per capita growth (annual %)","-10.7702732277494","9.67392093465429","3.98913108450517","-2.4362511141417"
Argentina,"Inflation, consumer prices (annual %)","..","..","..",".."
Argentina,"Gini index","42.7","42.4","40.7",".."
Argentina,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Armenia,"GDP (constant 2015 US$)","11941035821.9185","12633615899.6682","14225451502.9981","15463065783.759"
Armenia,"GDP per capita (constant 2015 US$)","4256.13122785453","4526.59748878641","5116.2057562944","5566.31849291352"
Armenia,"GDP per capita growth (annual %)","-6.70404931756727","6.35474440171846","13.0254185172993","8.7977841013402"
Armenia,"Inflation, consumer prices (annual %)","1.21143577838465","7.18483629443371","8.64091108973855","1.98041877615554"
Armenia,"Gini index","25.1","27.9","27.9",".."
Armenia,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Aruba,"GDP (constant 2015 US$)","2453132865.8745","3131163015.59374","3458629980.61776",".."
Aruba,"GDP per capita (constant 2015 US$)","23015.7420450767","29390.3809530373","32492.1788775214",".."
Aruba,"GDP per capita growth (annual %)","-24.0845698973944","27.6968645871847","10.5537860480283",".."
Aruba,"Inflation, consumer prices (annual %)","..","..","..",".."
Aruba,"Gini index","..","..","..",".."
Aruba,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Australia,"GDP (constant 2015 US$)","1489770563790.11","1521231998735.21","1586172577281.96","1634027215240.65"
Australia,"GDP per capita (constant 2015 US$)","58082.4265799182","59225.5245403582","60972.8703431498","61340.7104848018"
Australia,"GDP per capita growth (annual %)","-1.55643630102695","1.96806164574946","2.95032558403243","0.603284935712949"
Australia,"Inflation, consumer prices (annual %)","0.846905537459305","2.86391042204994","6.59409671341846","5.5970149253731"
Australia,"Gini index","..","..","..",".."
Australia,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Austria,"GDP (constant 2015 US$)","386492302608.55","402871331324.597","422235060667.714","418735512774.007"
Austria,"GDP per capita (constant 2015 US$)","43343.9718951136","44984.4197366909","46697.8565193913","45851.7248755344"
Austria,"GDP per capita growth (annual %)","-7.01982595202976","3.78471969654039","3.80895606240934","-1.81192822738132"
Austria,"Inflation, consumer prices (annual %)","1.38191063351862","2.7666666666667","8.5468699318845","7.81413417002832"
Austria,"Gini index","29.8","30.7","..",".."
Austria,"CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","..","..","..",".."
Azerbaijan,"GDP (constant 2015 US$)","51308988759.0274","54190732985.9123","56745718946.4579","57383526259.1424"
Azerbaijan,"GDP per capita (constant 2015 US$)","5083.56025445721","5345.43986445831","5595.25578671563","5674.48347713732"
Azerbaijan,"GDP per capita growth (annual %)","-4.95270173869491","5.15150006870661","4.67343995240384","1.41597977718548"
Azerbaijan,"Inflation, consumer prices (annual %)","2.75980947008127","6.65029912708779","13.8522590144267","8.78543049849081"
